# Mid-cap rating-rationale registry (batch 1+). Amount-weighted PSB share from
# CRISIL "Details of Bank Lenders & Facilities" annexures. Amount in Rs crore.
# PSB (amount) = sum(facility amt at PSB banks) / sum(all named-bank facility amt).
FACILITY|DBL|Central Bank Of India|Non-Fund Based|214
FACILITY|DBL|Bank of Maharashtra|Non-Fund Based|205
FACILITY|DBL|Bank of India|Non-Fund Based|222
FACILITY|DBL|Indian Overseas Bank|Non-Fund Based|211.75
FACILITY|DBL|Punjab and Sind Bank|Non-Fund Based|85
FACILITY|DBL|IDBI Bank Limited|Non-Fund Based|475
FACILITY|DBL|Bank of Baroda|Non-Fund Based|890
FACILITY|DBL|Punjab National Bank|Non-Fund Based|1912.5
FACILITY|DBL|UCO Bank|Non-Fund Based|248.95
FACILITY|DBL|Union Bank of India|Non-Fund Based|733
FACILITY|DBL|Canara Bank|Non-Fund Based|1155
FACILITY|DBL|The Karnataka Bank Limited|Non-Fund Based|56
FACILITY|DBL|Bank of Baroda|Term Loan|0.65
FACILITY|DBL|Union Bank of India|Term Loan|0.09
FACILITY|DBL|Punjab and Sind Bank|Term Loan|0.03
FACILITY|DBL|Bank of Maharashtra|Term Loan|0.81
BANKNAMES|DBL|yes
SOURCE|LTFOODS|CRISIL|2024-04-30|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/LTFoodsLimited_April%2030_%202024_RR_341602.html
FACILITY|LTFOODS|The Federal Bank Limited|LC and BG|50
FACILITY|LTFOODS|IndusInd Bank Limited|LC and BG|45
FACILITY|LTFOODS|Kotak Mahindra Bank Limited|LC and BG|23
FACILITY|LTFOODS|State Bank of India|LC and BG|6
FACILITY|LTFOODS|HDFC Bank Limited|LC and BG|5
FACILITY|LTFOODS|Punjab National Bank|LC and BG|21
FACILITY|LTFOODS|ICICI Bank Limited|LC and BG|15.1
FACILITY|LTFOODS|CTBC Bank Co Limited|LC and BG|7
FACILITY|LTFOODS|Union Bank of India|Working Capital|80
FACILITY|LTFOODS|Punjab National Bank|Working Capital|172
FACILITY|LTFOODS|ICICI Bank Limited|Working Capital|72.5
FACILITY|LTFOODS|HDFC Bank Limited|Working Capital|25.5
FACILITY|LTFOODS|CTBC Bank Co Limited|Working Capital|37
FACILITY|LTFOODS|Doha Bank|Working Capital|50
FACILITY|LTFOODS|The Federal Bank Limited|Working Capital|20
FACILITY|LTFOODS|State Bank of India|Working Capital|84
FACILITY|LTFOODS|Kotak Mahindra Bank Limited|Working Capital|40
FACILITY|LTFOODS|Qatar National Bank (Q.P.S.C.)|Working Capital|40
FACILITY|LTFOODS|IndusInd Bank Limited|Working Capital|77
BANKNAMES|LTFOODS|yes
SOURCE|GOKULAGRO|CRISIL|2024-10-30|https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/GokulAgroResourcesLimited_October%2030_%202024_RR_355984.html
FACILITY|GOKULAGRO|State Bank of India|Bank Guarantee|5
FACILITY|GOKULAGRO|Central Bank Of India|Bank Guarantee|2
FACILITY|GOKULAGRO|IndusInd Bank Limited|Bank Guarantee|18
FACILITY|GOKULAGRO|IndusInd Bank Limited|Credit Exposure Limits|5
FACILITY|GOKULAGRO|The Jammu and Kashmir Bank Limited|Credit Exposure Limits|3.02
FACILITY|GOKULAGRO|Bank of India|Credit Exposure Limits|0.7
FACILITY|GOKULAGRO|Axis Bank Limited|Credit Exposure Limits|3
FACILITY|GOKULAGRO|State Bank of India|Credit Exposure Limits|13.4
FACILITY|GOKULAGRO|Bank of Baroda|Credit Exposure Limits|10.38
FACILITY|GOKULAGRO|Central Bank Of India|Credit Exposure Limits|5
FACILITY|GOKULAGRO|DBS Bank Limited|Credit Exposure Limits|8.5
FACILITY|GOKULAGRO|YES Bank Limited|Credit Exposure Limits|1
FACILITY|GOKULAGRO|IDFC FIRST Bank Limited|Export Packing Credit|5
FACILITY|GOKULAGRO|Axis Bank Limited|Export Packing Credit|15
FACILITY|GOKULAGRO|The Jammu and Kashmir Bank Limited|Export Packing Credit|26
FACILITY|GOKULAGRO|Bank of India|Export Packing Credit|3
FACILITY|GOKULAGRO|State Bank of India|Export Packing Credit|50.25
FACILITY|GOKULAGRO|Bank of Baroda|Export Packing Credit|50
FACILITY|GOKULAGRO|Central Bank Of India|Export Packing Credit|35.75
FACILITY|GOKULAGRO|IndusInd Bank Limited|Export Packing Credit|15
FACILITY|GOKULAGRO|The Jammu and Kashmir Bank Limited|Letter of Credit|69.25
FACILITY|GOKULAGRO|Bank of Baroda|Letter of Credit|290
FACILITY|GOKULAGRO|State Bank of India|Letter of Credit|302.5
FACILITY|GOKULAGRO|Central Bank Of India|Letter of Credit|249.25
FACILITY|GOKULAGRO|DBS Bank Limited|Letter of Credit|170
FACILITY|GOKULAGRO|Bank of India|Letter of Credit|80
FACILITY|GOKULAGRO|YES Bank Limited|Letter of Credit|55
FACILITY|GOKULAGRO|IndusInd Bank Limited|Letter of Credit|67
FACILITY|GOKULAGRO|IDFC FIRST Bank Limited|Letter of Credit|95
FACILITY|GOKULAGRO|Axis Bank Limited|Letter of Credit|82
FACILITY|GOKULAGRO|IndusInd Bank Limited|Long Term Loan|12.6
FACILITY|GOKULAGRO|ICICI Bank Limited|Long Term Loan|24.23
FACILITY|GOKULAGRO|Central Bank Of India|Long Term Loan|160
FACILITY|GOKULAGRO|Bandhan Bank Limited|Long Term Loan|15.89
FACILITY|GOKULAGRO|State Bank of India|Long Term Loan|109.2
FACILITY|GOKULAGRO|Bank of Baroda|Long Term Loan|8.13
FACILITY|GOKULAGRO|The Jammu and Kashmir Bank Limited|Long Term Loan|12.83
FACILITY|GOKULAGRO|Bank of India|Long Term Loan|0.7
BANKNAMES|GOKULAGRO|yes
